lokacija,sobno,nadstropje,leto,velikost,cena
"DRAVOGRAD, STANOVANJE Z VEČJO ZUNANJO TERASO IN ZELENICO",4-sobno,VP,1943,"126,10 ","107.000,00"
JOSIPDOL,2-sobno,2,1948,"68,10 ","45.000,00"
LEGEN,Apartma,P,2005,"35,60 ","57.000,00"
LEGEN,2-sobno,1,2006,"65,15 ","80.000,00"
LEGEN,Apartma,1,2005,"67,40 ","80.000,00"
LEGEN,2-sobno,2,2006,"73,90 ","84.000,00"
LEGEN,Apartma,2,2006,"73,90 ","84.000,00"
LEGEN,Apartma,M,2005,"80,90 ","101.000,00"
LEGEN,4-sobno,2,2006,"138,30 ","171.000,00"
LEGEN,Apartma,2,2006,"138,30 ","171.000,00"
MISLINJA,3-sobno,1,2021,"112,60 ","225.200,00"
MISLINJSKA DOBRAVA,3-sobno,P,2004,"79,90 ","135.000,00"
MUTA,2-sobno,1,1988,"60,80 ","66.000,00"
"MUTA, GLAVNI TRG 9",5 in večsobno,1,1998,"96,00 ","160.000,00"
PREVALJE,1-sobno,3,1974,"40,50 ","64.212,00"
PREVALJE,1-sobno,2,1974,"66,70 ","102.663,00"
PREVALJE,3-sobno,1,1950,"84,00 ","100.000,00"
"PREVALJE, TRG",3-sobno,VP,1985,"69,70 ","125.000,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"67,80 ","134.300,00"
RAVNE NA KOROŠKEM,3-sobno,1,2021,"72,60 ","143.400,00"
RAVNE NA KOROŠKEM,3-sobno,7,2021,"73,10 ","144.400,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"73,20 ","144.500,00"
RAVNE NA KOROŠKEM,3-sobno,5,2021,"73,20 ","144.500,00"
RAVNE NA KOROŠKEM,3-sobno,4,2021,"73,40 ","144.900,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"73,70 ","144.700,00"
RAVNE NA KOROŠKEM,3-sobno,4,2021,"73,70 ","145.500,00"
RAVNE NA KOROŠKEM,3-sobno,2,2021,"75,10 ","148.400,00"
RAVNE NA KOROŠKEM,3-sobno,3,2021,"75,10 ","148.100,00"
RAVNE NA KOROŠKEM,3-sobno,1,2021,"75,10 ","148.100,00"
"DRAVOGRAD, STANOVANJE Z VEČJO ZUNANJO TERASO IN ZELENICO",4-sobno,VP,1943,"126,10 ","107.000,00"
JOSIPDOL,2-sobno,2,1948,"68,10 ","45.000,00"
LEGEN,Apartma,P,2005,"35,60 ","57.000,00"
LEGEN,2-sobno,1,2006,"65,15 ","80.000,00"
LEGEN,Apartma,1,2005,"67,40 ","80.000,00"
LEGEN,2-sobno,2,2006,"73,90 ","84.000,00"
LEGEN,Apartma,2,2006,"73,90 ","84.000,00"
LEGEN,Apartma,M,2005,"80,90 ","101.000,00"
LEGEN,4-sobno,2,2006,"138,30 ","171.000,00"
LEGEN,Apartma,2,2006,"138,30 ","171.000,00"
MISLINJA,3-sobno,1,2021,"112,60 ","225.200,00"
MISLINJSKA DOBRAVA,3-sobno,P,2004,"79,90 ","135.000,00"
MUTA,2-sobno,1,1988,"60,80 ","66.000,00"
"MUTA, GLAVNI TRG 9",5 in večsobno,1,1998,"96,00 ","160.000,00"
PREVALJE,1-sobno,3,1974,"40,50 ","64.212,00"
PREVALJE,1-sobno,2,1974,"66,70 ","102.663,00"
PREVALJE,3-sobno,1,1950,"84,00 ","100.000,00"
"PREVALJE, TRG",3-sobno,VP,1985,"69,70 ","125.000,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"67,80 ","134.300,00"
RAVNE NA KOROŠKEM,3-sobno,1,2021,"72,60 ","143.400,00"
RAVNE NA KOROŠKEM,3-sobno,7,2021,"73,10 ","144.400,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"73,20 ","144.500,00"
RAVNE NA KOROŠKEM,3-sobno,5,2021,"73,20 ","144.500,00"
RAVNE NA KOROŠKEM,3-sobno,4,2021,"73,40 ","144.900,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"73,70 ","144.700,00"
RAVNE NA KOROŠKEM,3-sobno,4,2021,"73,70 ","145.500,00"
RAVNE NA KOROŠKEM,3-sobno,2,2021,"75,10 ","148.400,00"
RAVNE NA KOROŠKEM,3-sobno,3,2021,"75,10 ","148.100,00"
RAVNE NA KOROŠKEM,3-sobno,1,2021,"75,10 ","148.100,00"
"DRAVOGRAD, STANOVANJE Z VEČJO ZUNANJO TERASO IN ZELENICO",4-sobno,VP,1943,"126,10 ","107.000,00"
JOSIPDOL,2-sobno,2,1948,"68,10 ","45.000,00"
LEGEN,Apartma,P,2005,"35,60 ","57.000,00"
LEGEN,2-sobno,1,2006,"65,15 ","80.000,00"
LEGEN,Apartma,1,2005,"67,40 ","80.000,00"
LEGEN,2-sobno,2,2006,"73,90 ","84.000,00"
LEGEN,Apartma,2,2006,"73,90 ","84.000,00"
LEGEN,Apartma,M,2005,"80,90 ","101.000,00"
LEGEN,4-sobno,2,2006,"138,30 ","171.000,00"
LEGEN,Apartma,2,2006,"138,30 ","171.000,00"
MISLINJA,3-sobno,1,2021,"112,60 ","225.200,00"
MISLINJSKA DOBRAVA,3-sobno,P,2004,"79,90 ","135.000,00"
MUTA,2-sobno,1,1988,"60,80 ","66.000,00"
"MUTA, GLAVNI TRG 9",5 in večsobno,1,1998,"96,00 ","160.000,00"
PREVALJE,1-sobno,3,1974,"40,50 ","64.212,00"
PREVALJE,1-sobno,2,1974,"66,70 ","102.663,00"
PREVALJE,3-sobno,1,1950,"84,00 ","100.000,00"
"PREVALJE, TRG",3-sobno,VP,1985,"69,70 ","125.000,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"67,80 ","134.300,00"
RAVNE NA KOROŠKEM,3-sobno,1,2021,"72,60 ","143.400,00"
RAVNE NA KOROŠKEM,3-sobno,7,2021,"73,10 ","144.400,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"73,20 ","144.500,00"
RAVNE NA KOROŠKEM,3-sobno,5,2021,"73,20 ","144.500,00"
RAVNE NA KOROŠKEM,3-sobno,4,2021,"73,40 ","144.900,00"
RAVNE NA KOROŠKEM,3-sobno,P,2021,"73,70 ","144.700,00"
RAVNE NA KOROŠKEM,3-sobno,4,2021,"73,70 ","145.500,00"
RAVNE NA KOROŠKEM,3-sobno,2,2021,"75,10 ","148.400,00"
RAVNE NA KOROŠKEM,3-sobno,3,2021,"75,10 ","148.100,00"
RAVNE NA KOROŠKEM,3-sobno,1,2021,"75,10 ","148.100,00"
