lokacija,sobno,nadstropje,leto,velikost,cena
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET","1,5-sobno",P,2021,"65,40 ","159.990,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"82,89 ","236.133,88"
"ZGORNJE RADVANJE, OB VZNOŽJU MARIBORSKEGA POHORJA",3-sobno,3,2011,"78,50 ","225.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
BETNAVA,4-sobno,1,1963,"179,60 ","139.000,00"
BISTRICA OB DRAVI,1-sobno,1,2021,"38,00 ","58.000,00"
DORNAVA,3-sobno,2,2009,"104,00 ","125.000,00"
DVORJANE,2-sobno,1,1966,"57,50 ","79.500,00"
FRAM,3-sobno,2,1905,"72,00 ","92.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","77.000,00"
HOČKO POHORJE,"1,5-sobno",1,1976,"42,00 ","75.000,00"
HRASTOVEC V SLOVENSKIH GORICAH,"2,5-sobno",1,1970,"58,90 ","64.790,00"
KAMNICA,4-sobno,1,1996,"105,00 ","190.000,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET","1,5-sobno",P,2021,"65,40 ","159.990,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"82,89 ","236.133,88"
"ZGORNJE RADVANJE, OB VZNOŽJU MARIBORSKEGA POHORJA",3-sobno,3,2011,"78,50 ","225.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
BETNAVA,4-sobno,1,1963,"179,60 ","139.000,00"
BISTRICA OB DRAVI,1-sobno,1,2021,"38,00 ","58.000,00"
DORNAVA,3-sobno,2,2009,"104,00 ","125.000,00"
DVORJANE,2-sobno,1,1966,"57,50 ","79.500,00"
FRAM,3-sobno,2,1905,"72,00 ","92.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","77.000,00"
HOČKO POHORJE,"1,5-sobno",1,1976,"42,00 ","75.000,00"
HRASTOVEC V SLOVENSKIH GORICAH,"2,5-sobno",1,1970,"58,90 ","64.790,00"
KAMNICA,4-sobno,1,1996,"105,00 ","190.000,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET","1,5-sobno",P,2021,"65,40 ","159.990,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"82,89 ","236.133,88"
"ZGORNJE RADVANJE, OB VZNOŽJU MARIBORSKEGA POHORJA",3-sobno,3,2011,"78,50 ","225.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
BETNAVA,4-sobno,1,1963,"179,60 ","139.000,00"
BISTRICA OB DRAVI,1-sobno,1,2021,"38,00 ","58.000,00"
DORNAVA,3-sobno,2,2009,"104,00 ","125.000,00"
DVORJANE,2-sobno,1,1966,"57,50 ","79.500,00"
FRAM,3-sobno,2,1905,"72,00 ","92.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","77.000,00"
HOČKO POHORJE,"1,5-sobno",1,1976,"42,00 ","75.000,00"
HRASTOVEC V SLOVENSKIH GORICAH,"2,5-sobno",1,1970,"58,90 ","64.790,00"
KAMNICA,4-sobno,1,1996,"105,00 ","190.000,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET","1,5-sobno",P,2021,"65,40 ","159.990,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"82,89 ","236.133,88"
"ZGORNJE RADVANJE, OB VZNOŽJU MARIBORSKEGA POHORJA",3-sobno,3,2011,"78,50 ","225.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
BETNAVA,4-sobno,1,1963,"179,60 ","139.000,00"
BISTRICA OB DRAVI,1-sobno,1,2021,"38,00 ","58.000,00"
DORNAVA,3-sobno,2,2009,"104,00 ","125.000,00"
DVORJANE,2-sobno,1,1966,"57,50 ","79.500,00"
FRAM,3-sobno,2,1905,"72,00 ","92.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","77.000,00"
HOČKO POHORJE,"1,5-sobno",1,1976,"42,00 ","75.000,00"
HRASTOVEC V SLOVENSKIH GORICAH,"2,5-sobno",1,1970,"58,90 ","64.790,00"
KAMNICA,4-sobno,1,1996,"105,00 ","190.000,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET","1,5-sobno",P,2021,"65,40 ","159.990,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"82,89 ","236.133,88"
"ZGORNJE RADVANJE, OB VZNOŽJU MARIBORSKEGA POHORJA",3-sobno,3,2011,"78,50 ","225.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
BETNAVA,4-sobno,1,1963,"179,60 ","139.000,00"
