lokacija,sobno,nadstropje,leto,velikost,cena
KRŠKO,3-sobno,2,1985,"76,00 ","124.900,00"
BRESTANICA,3-sobno,3,1950,"78,30 ","86.000,00"
"BREŽICE, BIZELJSKA CESTA","1,5-sobno",2,1965,"50,00 ","96.990,00"
"BREŽICE, ŠENTLENART",5 in večsobno,2,2020,"193,50 ","137.000,00"
"DOBOVA, ULICA BRATOV GERJOVIČEV 57",3-sobno,M,2005,"76,00 ","110.000,00"
KRŠKO,3-sobno,VP,1954,"76,00 ","150.000,00"
KRŠKO,"3,5-sobno",4,1980,"82,00 ","120.000,00"
SENOVO,3-sobno,1,1923,"98,90 ","80.000,00"
SENOVO,"3,5-sobno",VP,1973,"100,00 ","95.000,00"
SENOVO,"3,5-sobno",1,1973,"100,00 ","89.000,00"
SEVNICA,2-sobno,P,1920,"90,10 ","76.000,00"
"SEVNICA, GLAVNI TRG 34",1-sobno,P,1988,"41,00 ","68.000,00"
"SEVNICA, VRHOVO",3-sobno,M,1990,"73,00 ","71.000,00"
