lokacija,sobno,nadstropje,leto,velikost,cena
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,1-sobno,3,1964,"29,00 ","80.000,00"
CELJE,1-sobno,P,1890,"37,55 ","65.000,00"
CELJE,1-sobno,VP,1965,"39,00 ","109.999,00"
CELJE,Garsonjera,1,1909,"47,80 ","45.000,00"
CELJE,2-sobno,1,1960,"53,00 ","129.990,00"
CELJE,2-sobno,1,1966,"59,00 ","115.000,00"
CELJE,"2,5-sobno",4,1978,"60,20 ","136.900,00"
CELJE,"2,5-sobno",12,1980,"64,00 ","142.000,00"
CELJE,3-sobno,PK,2022,"65,00 ","125.000,00"
CELJE,"2,5-sobno",1,1979,"66,50 ","139.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,4-sobno,4,1964,"71,61 ","135.000,00"
CELJE,3-sobno,11,1980,"85,00 ","157.000,00"
CELJE,3-sobno,2,2007,"88,00 ","162.000,00"
CELJE,"2,5-sobno",2,1955,"90,00 ","152.000,00"
CELJE,4-sobno,2,2021,"135,50 ","281.380,00"
CELJE,"3,5-sobno",4,2022,"136,00 ","305.000,00"
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,1-sobno,3,1964,"29,00 ","80.000,00"
CELJE,1-sobno,P,1890,"37,55 ","65.000,00"
CELJE,1-sobno,VP,1965,"39,00 ","109.999,00"
CELJE,Garsonjera,1,1909,"47,80 ","45.000,00"
CELJE,2-sobno,1,1960,"53,00 ","129.990,00"
CELJE,2-sobno,1,1966,"59,00 ","115.000,00"
CELJE,"2,5-sobno",4,1978,"60,20 ","136.900,00"
CELJE,"2,5-sobno",12,1980,"64,00 ","142.000,00"
CELJE,3-sobno,PK,2022,"65,00 ","125.000,00"
CELJE,"2,5-sobno",1,1979,"66,50 ","139.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,4-sobno,4,1964,"71,61 ","135.000,00"
CELJE,3-sobno,11,1980,"85,00 ","157.000,00"
CELJE,3-sobno,2,2007,"88,00 ","162.000,00"
CELJE,"2,5-sobno",2,1955,"90,00 ","152.000,00"
CELJE,4-sobno,2,2021,"135,50 ","281.380,00"
CELJE,"3,5-sobno",4,2022,"136,00 ","305.000,00"
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,1-sobno,3,1964,"29,00 ","80.000,00"
CELJE,1-sobno,P,1890,"37,55 ","65.000,00"
CELJE,1-sobno,VP,1965,"39,00 ","109.999,00"
CELJE,Garsonjera,1,1909,"47,80 ","45.000,00"
CELJE,2-sobno,1,1960,"53,00 ","129.990,00"
CELJE,2-sobno,1,1966,"59,00 ","115.000,00"
CELJE,"2,5-sobno",4,1978,"60,20 ","136.900,00"
CELJE,"2,5-sobno",12,1980,"64,00 ","142.000,00"
CELJE,3-sobno,PK,2022,"65,00 ","125.000,00"
CELJE,"2,5-sobno",1,1979,"66,50 ","139.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,4-sobno,4,1964,"71,61 ","135.000,00"
