lokacija,sobno,nadstropje,leto,velikost,cena
KRANJ,4-sobno,3,2021,"126,00 ","342.640,00"
KRANJSKA GORA,2-sobno,P,1890,"55,10 ","330.000,00"
RADOVLJICA,2-sobno,1,2021,"49,70 ","169.400,00"
BAŠELJ,3-sobno,2,2015,"118,00 ","179.400,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
"BEGUNJE NA GORENJSKEM, POLJČE 26","2,5-sobno",1,2007,"78,00 ","156.000,00"
BLED,"1,5-sobno",M,1982,"46,00 ","169.000,00"
BLED,2-sobno,2,1974,"50,61 ","220.000,00"
BLED,2-sobno,4,1980,"55,00 ","199.500,00"
BLED,2-sobno,1,2018,"60,90 ","250.000,00"
BLED,3-sobno,2,2006,"114,70 ","357.000,00"
BLED,4-sobno,1,1935,"155,50 ","390.000,00"
BLED,4-sobno,2,2001,"168,00 ","425.000,00"
"BLED, CENTER",4-sobno,1,2000,"130,00 ","350.000,00"
"BLED, V NASELJU",3-sobno,P,1974,"82,00 ","280.000,00"
BOHINJSKA BISTRICA,3-sobno,1,2007,"100,00 ","215.000,00"
JESENICE,2-sobno,3,1958,"54,60 ","89.000,00"
JESENICE,"2,5-sobno",5,1963,"55,60 ","113.000,00"
JESENICE,2-sobno,1,1890,"60,00 ","94.500,00"
JESENICE,3-sobno,4,1982,"78,40 ","127.000,00"
KRANJ,4-sobno,3,2021,"126,00 ","342.640,00"
KRANJSKA GORA,2-sobno,P,1890,"55,10 ","330.000,00"
RADOVLJICA,2-sobno,1,2021,"49,70 ","169.400,00"
BAŠELJ,3-sobno,2,2015,"118,00 ","179.400,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
"BEGUNJE NA GORENJSKEM, POLJČE 26","2,5-sobno",1,2007,"78,00 ","156.000,00"
BLED,"1,5-sobno",M,1982,"46,00 ","169.000,00"
BLED,2-sobno,2,1974,"50,61 ","220.000,00"
BLED,2-sobno,4,1980,"55,00 ","199.500,00"
BLED,2-sobno,1,2018,"60,90 ","250.000,00"
BLED,3-sobno,2,2006,"114,70 ","357.000,00"
BLED,4-sobno,1,1935,"155,50 ","390.000,00"
BLED,4-sobno,2,2001,"168,00 ","425.000,00"
"BLED, CENTER",4-sobno,1,2000,"130,00 ","350.000,00"
"BLED, V NASELJU",3-sobno,P,1974,"82,00 ","280.000,00"
BOHINJSKA BISTRICA,3-sobno,1,2007,"100,00 ","215.000,00"
JESENICE,2-sobno,3,1958,"54,60 ","89.000,00"
JESENICE,"2,5-sobno",5,1963,"55,60 ","113.000,00"
JESENICE,2-sobno,1,1890,"60,00 ","94.500,00"
JESENICE,3-sobno,4,1982,"78,40 ","127.000,00"
KRANJ,4-sobno,3,2021,"126,00 ","342.640,00"
KRANJSKA GORA,2-sobno,P,1890,"55,10 ","330.000,00"
RADOVLJICA,2-sobno,1,2021,"49,70 ","169.400,00"
BAŠELJ,3-sobno,2,2015,"118,00 ","179.400,00"
BEGUNJE NA GORENJSKEM,3-sobno,1,1900,"76,10 ","68.000,00"
