lokacija,sobno,nadstropje,leto,velikost,cena
"PORTOROŽ, KAMPOLIN",3-sobno,2,2006,"125,30 ","440.000,00"
"PORTOROŽ, VALETA",2-sobno,P,2002,"67,00 ","430.000,00"
"ANKARAN, CENTER",3-sobno,P,1976,"98,00 ","345.000,00"
ČEŽARJI,Garsonjera,P,1900,"15,40 ","52.900,00"
DIVAČA,4-sobno,3,2000,"99,60 ","150.000,00"
GAŽON,4-sobno,P,1997,"80,00 ","192.000,00"
GAŽON,3-sobno,P,1997,"83,00 ","192.000,00"
HRPELJE,"2,5-sobno",P,2014,"73,00 ","145.000,00"
HRPELJE,2-sobno,P,2014,"73,00 ","145.000,00"
"HRPELJE, KOZINA",3-sobno,3,1982,"76,10 ","239.000,00"
"HRVATINI, POGLED NA MORJE","4,5-sobno",2,1920,"179,70 ","350.000,00"
IZOLA,2-sobno,2,1891,"49,34 ","162.822,00"
IZOLA,3-sobno,2,2009,"53,00 ","219.000,00"
IZOLA,2-sobno,P,2013,"61,00 ","260.000,00"
IZOLA,3-sobno,2,1989,"79,90 ","185.000,00"
IZOLA,4-sobno,2,1890,"91,00 ","320.000,00"
IZOLA,3-sobno,VP,2014,"100,40 ","380.000,00"
IZOLA,4-sobno,3,2013,"102,40 ","343.000,00"
IZOLA,4-sobno,1,1992,"107,00 ","295.000,00"
IZOLA,4-sobno,1,1992,"107,40 ","295.000,00"
"PORTOROŽ, KAMPOLIN",3-sobno,2,2006,"125,30 ","440.000,00"
"PORTOROŽ, VALETA",2-sobno,P,2002,"67,00 ","430.000,00"
"ANKARAN, CENTER",3-sobno,P,1976,"98,00 ","345.000,00"
ČEŽARJI,Garsonjera,P,1900,"15,40 ","52.900,00"
DIVAČA,4-sobno,3,2000,"99,60 ","150.000,00"
GAŽON,4-sobno,P,1997,"80,00 ","192.000,00"
GAŽON,3-sobno,P,1997,"83,00 ","192.000,00"
HRPELJE,"2,5-sobno",P,2014,"73,00 ","145.000,00"
HRPELJE,2-sobno,P,2014,"73,00 ","145.000,00"
"HRPELJE, KOZINA",3-sobno,3,1982,"76,10 ","239.000,00"
