lokacija,sobno,nadstropje,leto,velikost,cena
"ČRNA NA KOROŠKEM, RUDARJEVO",2-sobno,4,1983,"57,10 ","69.500,00"
DRAVOGRAD,3-sobno,1,1880,"71,60 ","61.000,00"
"DRAVOGRAD, CENTER",4-sobno,P,1990,"121,00 ","125.000,00"
PAMEČE,3-sobno,2,1984,"81,00 ","99.000,00"
PODVELKA,2-sobno,1,1986,"57,70 ","42.500,00 &euro;<span class=""cena-old"">47.000,00"
PREVALJE,2-sobno,M,2010,"52,90 ","90.000,00"
PREVALJE,3-sobno,4,1978,"74,00 ","105.000,00"
PREVALJE,3-sobno,1,1950,"84,00 ","100.000,00"
RAVNE NA KOROŠKEM,4-sobno,M,2006,"71,10 ","105.000,00"
RAVNE NA KOROŠKEM,3-sobno,3,1985,"89,00 ","110.000,00"
RAVNE NA KOROŠKEM,4-sobno,K,2009,"109,00 ","110.000,00"
"RAVNE NA KOROŠKEM, CENTER",4-sobno,P,1990,"146,00 ","134.000,00"
"RAVNE NA KOROŠKEM, CENTER MESTA",4-sobno,P,1990,"146,00 ","140.000,00"
SLOVENJ GRADEC,2-sobno,PK,1970,"50,00 ","64.990,00 &euro;<span class=""cena-old"">69.990,00"
SLOVENJ GRADEC,2-sobno,2,1987,"60,00 ","89.990,00"
SLOVENJ GRADEC,2-sobno,1,1800,"73,30 ","160.000,00"
SLOVENJ GRADEC,"2,5-sobno",1,2001,"79,50 ","121.900,00"
SLOVENJ GRADEC,4-sobno,P,2020,"90,50 ","186.000,00"
SLOVENJ GRADEC,4-sobno,P,1977,"90,50 ","186.000,00"
SLOVENJ GRADEC,4-sobno,P,1977,"97,00 ","186.000,00"
SLOVENJ GRADEC,3-sobno,P,1938,"132,60 ","149.000,00"
SLOVENJ GRADEC,3-sobno,P,1938,"132,60 ","149.000,00"
SLOVENJ GRADEC,3-sobno,VP,1938,"136,80 ","149.000,00"
"SLOVENJ GRADEC, PARTIZANSKA POT 9",3-sobno,4,1964,"64,50 ","119.000,00"
"SLOVENJ GRADEC, RONKOVA ULICA",4-sobno,3,2009,"138,84 ","269.000,00"
STARI TRG,3-sobno,1,1980,"89,02 ","106.000,00"
STARI TRG,4-sobno,1,1980,"114,40 ","137.000,00"
VUZENICA,3-sobno,4,1980,"69,10 ","77.800,00"
