lokacija,sobno,nadstropje,leto,velikost,cena
"LAVRICA, NASELJE OB POTOKU",4-sobno,P,2009,"91,40 ","379.000,00"
MENGEŠ,3-sobno,3,2010,"81,70 ","324.000,00"
ZGORNJE JARŠE,"4,5-sobno",P,1959,"201,60 ","295.000,00"
BLATNA BREZOVICA,3-sobno,P,1966,"117,30 ","150.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,Apartma,1,2002,"136,00 ","129.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"153,30 ","279.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,2,2007,"215,30 ","575.000,00"
"BREZOVICA PRI LJUBLJANI, 1000 EVROV KVADRATNI METER",5 in večsobno,1,1984,"265,00 ","265.000,00"
ČRNA PRI KAMNIKU,3-sobno,1,1945,"75,10 ","59.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,Garsonjera,P,1991,"21,00 ","61.900,00"
DOMŽALE,"1,5-sobno",3,2004,"54,00 ","235.000,00"
DOMŽALE,3-sobno,P,2007,"64,60 ","229.000,00"
DOMŽALE,3-sobno,2,1974,"75,44 ","225.000,00"
DOMŽALE,5 in večsobno,K+P+1+M,1938,"184,00 ","360.000,00"
"DOMŽALE, CENTER",Garsonjera,4,1961,"32,90 ","99.000,00"
"DOMŽALE, CENTER","1,5-sobno",P,1905,"52,90 ","119.900,00"
"DOMŽALE, PARKIRNO MESTO, TERASA",2-sobno,VP,2007,"49,00 ","174.000,00"
"DOMŽALE, PRESERJE PRI RADOMLJAH",5 in večsobno,P+M,2020,"183,00 ","249.000,00"
"DOMŽALE, ŠTUDA",5 in večsobno,P,2004,"230,00 ","459.000,00"
"LAVRICA, NASELJE OB POTOKU",4-sobno,P,2009,"91,40 ","379.000,00"
MENGEŠ,3-sobno,3,2010,"81,70 ","324.000,00"
ZGORNJE JARŠE,"4,5-sobno",P,1959,"201,60 ","295.000,00"
BLATNA BREZOVICA,3-sobno,P,1966,"117,30 ","150.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,Apartma,1,2002,"136,00 ","129.000,00"
