lokacija,sobno,nadstropje,leto,velikost,cena
AJDOVŠČINA,2-sobno,1,1925,"49,72 ","95.000,00"
AJDOVŠČINA,2-sobno,1,1997,"81,40 ","150.000,00"
AJDOVŠČINA,4-sobno,P,2018,"238,43 ","178.710,00"
BATUJE,3-sobno,M,2020,"79,70 ","165.000,00"
BOVEC,3-sobno,VP,1978,"74,00 ","150.000,00"
GODOVIČ,5 in večsobno,P+1+M,1983,"244,00 ","66.000,00"
IDRIJA,2-sobno,1,1870,"60,20 ","57.000,00"
IDRIJA,2-sobno,1,1890,"81,00 ","50.000,00"
"IDRIJA, ZA GRADOM 9",Garsonjera,K,1963,"19,50 ","17.900,00"
KANAL,3-sobno,2,2009,"77,80 ","135.000,00"
KOBARID,2-sobno,1,1977,"68,50 ","179.000,00"
MIREN,"2,5-sobno",P,1999,"69,35 ","139.000,00"
NOVA GORICA,2-sobno,P,2004,"63,45 ","149.000,00"
NOVA GORICA,3-sobno,2,1969,"71,80 ","150.000,00"
NOVA GORICA,3-sobno,3,1969,"71,80 ","167.000,00"
NOVA GORICA,3-sobno,3,2006,"79,10 ","207.000,00"
AJDOVŠČINA,2-sobno,1,1925,"49,72 ","95.000,00"
AJDOVŠČINA,2-sobno,1,1997,"81,40 ","150.000,00"
AJDOVŠČINA,4-sobno,P,2018,"238,43 ","178.710,00"
BATUJE,3-sobno,M,2020,"79,70 ","165.000,00"
BOVEC,3-sobno,VP,1978,"74,00 ","150.000,00"
GODOVIČ,5 in večsobno,P+1+M,1983,"244,00 ","66.000,00"
IDRIJA,2-sobno,1,1870,"60,20 ","57.000,00"
IDRIJA,2-sobno,1,1890,"81,00 ","50.000,00"
"IDRIJA, ZA GRADOM 9",Garsonjera,K,1963,"19,50 ","17.900,00"
KANAL,3-sobno,2,2009,"77,80 ","135.000,00"
KOBARID,2-sobno,1,1977,"68,50 ","179.000,00"
MIREN,"2,5-sobno",P,1999,"69,35 ","139.000,00"
NOVA GORICA,2-sobno,P,2004,"63,45 ","149.000,00"
NOVA GORICA,3-sobno,2,1969,"71,80 ","150.000,00"
NOVA GORICA,3-sobno,3,1969,"71,80 ","167.000,00"
NOVA GORICA,3-sobno,3,2006,"79,10 ","207.000,00"
AJDOVŠČINA,2-sobno,1,1925,"49,72 ","95.000,00"
AJDOVŠČINA,2-sobno,1,1997,"81,40 ","150.000,00"
AJDOVŠČINA,4-sobno,P,2018,"238,43 ","178.710,00"
BATUJE,3-sobno,M,2020,"79,70 ","165.000,00"
BOVEC,3-sobno,VP,1978,"74,00 ","150.000,00"
GODOVIČ,5 in večsobno,P+1+M,1983,"244,00 ","66.000,00"
IDRIJA,2-sobno,1,1870,"60,20 ","57.000,00"
IDRIJA,2-sobno,1,1890,"81,00 ","50.000,00"
"IDRIJA, ZA GRADOM 9",Garsonjera,K,1963,"19,50 ","17.900,00"
KANAL,3-sobno,2,2009,"77,80 ","135.000,00"
KOBARID,2-sobno,1,1977,"68,50 ","179.000,00"
MIREN,"2,5-sobno",P,1999,"69,35 ","139.000,00"
NOVA GORICA,2-sobno,P,2004,"63,45 ","149.000,00"
NOVA GORICA,3-sobno,2,1969,"71,80 ","150.000,00"
NOVA GORICA,3-sobno,3,1969,"71,80 ","167.000,00"
NOVA GORICA,3-sobno,3,2006,"79,10 ","207.000,00"
