lokacija,sobno,nadstropje,leto,velikost,cena
NOVO MESTO,4-sobno,P,2023,"120,61 ","275.978,46"
DOLENJA VAS,4-sobno,1,2014,"70,00 ","140.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,5 in večsobno,P,2022,"159,24 ","298.000,00"
DRAGA,3-sobno,2,1980,"79,10 ","25.000,00"
KANIŽARICA,2-sobno,VP,1950,"68,80 ","69.000,00"
KOČEVJE,3-sobno,1,1973,"66,20 ","90.000,00"
KOČEVJE,4-sobno,1,1930,"88,55 ","75.000,00"
"KOČEVJE, OB MAHOVNIŠKI CESTI",1-sobno,P,1930,"37,00 ","55.000,00"
"KOČEVJE, PODJETNIŠKO NASELJE",4-sobno,2,1995,"196,80 ","230.000,00"
"KOČEVJE, STARA CERKEV",4-sobno,2,1977,"95,90 ","59.000,00"
"KOČEVJE, ŠEŠKOVA ULICA",4-sobno,P,1967,"109,00 ","109.000,00"
"KOČEVJE, TRDNJAVA",2-sobno,P,1967,"77,20 ","70.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,2,1967,"61,30 ","74.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,1,1967,"83,30 ","55.000,00"
"KOČEVJE, TURJAŠKO NASELJE",3-sobno,4,1980,"90,00 ","100.000,00"
KOČEVSKA REKA,2-sobno,P,1967,"46,40 ","29.000,00"
"METLIKA, CENTER",2-sobno,2,1980,"41,40 ","90.000,00"
MIRNA,2-sobno,VP,1958,"61,00 ","64.000,00"
MIRNA,2-sobno,4,1981,"67,90 ","110.000,00"
NOVO MESTO,4-sobno,P,2023,"120,61 ","275.978,46"
DOLENJA VAS,4-sobno,1,2014,"70,00 ","140.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,5 in večsobno,P,2022,"159,24 ","298.000,00"
DRAGA,3-sobno,2,1980,"79,10 ","25.000,00"
KANIŽARICA,2-sobno,VP,1950,"68,80 ","69.000,00"
KOČEVJE,3-sobno,1,1973,"66,20 ","90.000,00"
KOČEVJE,4-sobno,1,1930,"88,55 ","75.000,00"
"KOČEVJE, OB MAHOVNIŠKI CESTI",1-sobno,P,1930,"37,00 ","55.000,00"
"KOČEVJE, PODJETNIŠKO NASELJE",4-sobno,2,1995,"196,80 ","230.000,00"
"KOČEVJE, STARA CERKEV",4-sobno,2,1977,"95,90 ","59.000,00"
"KOČEVJE, ŠEŠKOVA ULICA",4-sobno,P,1967,"109,00 ","109.000,00"
"KOČEVJE, TRDNJAVA",2-sobno,P,1967,"77,20 ","70.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,2,1967,"61,30 ","74.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,1,1967,"83,30 ","55.000,00"
"KOČEVJE, TURJAŠKO NASELJE",3-sobno,4,1980,"90,00 ","100.000,00"
KOČEVSKA REKA,2-sobno,P,1967,"46,40 ","29.000,00"
"METLIKA, CENTER",2-sobno,2,1980,"41,40 ","90.000,00"
MIRNA,2-sobno,VP,1958,"61,00 ","64.000,00"
MIRNA,2-sobno,4,1981,"67,90 ","110.000,00"
NOVO MESTO,4-sobno,P,2023,"120,61 ","275.978,46"
DOLENJA VAS,4-sobno,1,2014,"70,00 ","140.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,5 in večsobno,P,2022,"159,24 ","298.000,00"
DRAGA,3-sobno,2,1980,"79,10 ","25.000,00"
KANIŽARICA,2-sobno,VP,1950,"68,80 ","69.000,00"
KOČEVJE,3-sobno,1,1973,"66,20 ","90.000,00"
KOČEVJE,4-sobno,1,1930,"88,55 ","75.000,00"
"KOČEVJE, OB MAHOVNIŠKI CESTI",1-sobno,P,1930,"37,00 ","55.000,00"
"KOČEVJE, PODJETNIŠKO NASELJE",4-sobno,2,1995,"196,80 ","230.000,00"
"KOČEVJE, STARA CERKEV",4-sobno,2,1977,"95,90 ","59.000,00"
"KOČEVJE, ŠEŠKOVA ULICA",4-sobno,P,1967,"109,00 ","109.000,00"
"KOČEVJE, TRDNJAVA",2-sobno,P,1967,"77,20 ","70.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,2,1967,"61,30 ","74.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,1,1967,"83,30 ","55.000,00"
"KOČEVJE, TURJAŠKO NASELJE",3-sobno,4,1980,"90,00 ","100.000,00"
KOČEVSKA REKA,2-sobno,P,1967,"46,40 ","29.000,00"
"METLIKA, CENTER",2-sobno,2,1980,"41,40 ","90.000,00"
MIRNA,2-sobno,VP,1958,"61,00 ","64.000,00"
MIRNA,2-sobno,4,1981,"67,90 ","110.000,00"
NOVO MESTO,4-sobno,P,2023,"120,61 ","275.978,46"
DOLENJA VAS,4-sobno,1,2014,"70,00 ","140.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,5 in večsobno,P,2022,"159,24 ","298.000,00"
DRAGA,3-sobno,2,1980,"79,10 ","25.000,00"
KANIŽARICA,2-sobno,VP,1950,"68,80 ","69.000,00"
KOČEVJE,3-sobno,1,1973,"66,20 ","90.000,00"
KOČEVJE,4-sobno,1,1930,"88,55 ","75.000,00"
"KOČEVJE, OB MAHOVNIŠKI CESTI",1-sobno,P,1930,"37,00 ","55.000,00"
"KOČEVJE, PODJETNIŠKO NASELJE",4-sobno,2,1995,"196,80 ","230.000,00"
"KOČEVJE, STARA CERKEV",4-sobno,2,1977,"95,90 ","59.000,00"
"KOČEVJE, ŠEŠKOVA ULICA",4-sobno,P,1967,"109,00 ","109.000,00"
"KOČEVJE, TRDNJAVA",2-sobno,P,1967,"77,20 ","70.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,2,1967,"61,30 ","74.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,1,1967,"83,30 ","55.000,00"
"KOČEVJE, TURJAŠKO NASELJE",3-sobno,4,1980,"90,00 ","100.000,00"
KOČEVSKA REKA,2-sobno,P,1967,"46,40 ","29.000,00"
"METLIKA, CENTER",2-sobno,2,1980,"41,40 ","90.000,00"
MIRNA,2-sobno,VP,1958,"61,00 ","64.000,00"
MIRNA,2-sobno,4,1981,"67,90 ","110.000,00"
NOVO MESTO,4-sobno,P,2023,"120,61 ","275.978,46"
DOLENJA VAS,4-sobno,1,2014,"70,00 ","140.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,3-sobno,1,2022,"98,20 ","242.000,00"
DOLENJE PONIKVE,5 in večsobno,P,2022,"159,24 ","298.000,00"
DRAGA,3-sobno,2,1980,"79,10 ","25.000,00"
KANIŽARICA,2-sobno,VP,1950,"68,80 ","69.000,00"
KOČEVJE,3-sobno,1,1973,"66,20 ","90.000,00"
KOČEVJE,4-sobno,1,1930,"88,55 ","75.000,00"
"KOČEVJE, OB MAHOVNIŠKI CESTI",1-sobno,P,1930,"37,00 ","55.000,00"
"KOČEVJE, PODJETNIŠKO NASELJE",4-sobno,2,1995,"196,80 ","230.000,00"
"KOČEVJE, STARA CERKEV",4-sobno,2,1977,"95,90 ","59.000,00"
"KOČEVJE, ŠEŠKOVA ULICA",4-sobno,P,1967,"109,00 ","109.000,00"
"KOČEVJE, TRDNJAVA",2-sobno,P,1967,"77,20 ","70.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,2,1967,"61,30 ","74.000,00"
"KOČEVJE, TRG ZBORA ODPOSLANCEV",3-sobno,1,1967,"83,30 ","55.000,00"
"KOČEVJE, TURJAŠKO NASELJE",3-sobno,4,1980,"90,00 ","100.000,00"
KOČEVSKA REKA,2-sobno,P,1967,"46,40 ","29.000,00"
"METLIKA, CENTER",2-sobno,2,1980,"41,40 ","90.000,00"
MIRNA,2-sobno,VP,1958,"61,00 ","64.000,00"
MIRNA,2-sobno,4,1981,"67,90 ","110.000,00"
MIRNA,3-sobno,1,2021,"83,40 ","165.132,00"
MIRNA,3-sobno,2,2021,"84,40 ","165.132,00"
MIRNA,3-sobno,2,2021,"84,70 ","167.706,00"
MIRNA,3-sobno,3,2021,"84,80 ","167.904,00"
MLAKA PRI KOČEVJU,3-sobno,P,1924,"67,50 ","75.000,00"
"MOKRONOG, CENTER","2,5-sobno",1,1880,"65,50 ","48.000,00"
"MOKRONOG, CENTER",2-sobno,P,1844,"112,00 ","79.000,00"
NOVO MESTO,Garsonjera,4,1980,"40,00 ","107.000,00"
NOVO MESTO,"1,5-sobno",4,1978,"48,20 ","119.000,00"
NOVO MESTO,3-sobno,1,1957,"74,40 ","198.000,00"
NOVO MESTO,4-sobno,3,1950,"101,50 ","129.000,00"
NOVO MESTO,3-sobno,P,2023,"105,50 ","240.878,95"
"NOVO MESTO, KANDIJSKA CESTA",3-sobno,3,1975,"75,60 ","149.000,00"
"NOVO MESTO, OKOLICA",2-sobno,M,2021,"54,30 ","98.000,00"
"NOVO MESTO, PODBREZNIK 106","2,5-sobno",2,2007,"86,10 ","205.000,00"
"NOVO MESTO, SLAVKA GRUMA","1,5-sobno",2,2002,"45,00 ","143.000,00"
"NOVO MESTO, TRDINOVA ULICA",2-sobno,P,1963,"57,90 ","169.000,00"
"ROŽNI DOL, MED NOVIM MESTOM IN SEMIČEM",5 in večsobno,VP,1914,"128,00 ","80.000,00"
SLOVENSKA VAS,1-sobno,K,1956,"52,00 ","83.000,00"
SLOVENSKA VAS,5 in večsobno,1,1967,"326,00 ","60.000,00"
"SLOVENSKA VAS, TREBNJE",3-sobno,1,1959,"80,00 ","126.000,00"
STARA CERKEV,4-sobno,1,1985,"160,00 ","50.000,00"
"ŠENTJERNEJ, SREDIŠČE KRAJA",5 in večsobno,1,1970,"105,00 ","139.000,00"
