lokacija,sobno,nadstropje,leto,velikost,cena
"BROD, TACEN - ŠIŠKA","3,5-sobno",P,2010,"82,00 ","299.300,00"
ČRNUČE,4-sobno,1,2022,"105,40 ","345.932,56"
ČRNUČE,4-sobno,3,2022,"126,18 ","469.924,18"
LJ. BEŽIGRAD,2-sobno,4,1964,"49,90 ","157.000,00"
LJ. BEŽIGRAD,"2,5-sobno",1,2021,"80,26 ","359.017,04"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
LJ. CENTER,"2,5-sobno",1,1940,"85,40 ","279.000,00"
LJ. CENTER,4-sobno,VP,1939,"108,50 ","365.000,00"
"LJ. CENTER, PENTHOUSE",4-sobno,7,2021,"320,70 ","1.195.436,00"
"LJ. CENTER, VODMAT, ZADNJA ENOTA",4-sobno,2,2021,"165,00 ","444.000,00"
"LJ. MOSTE, DVIGALO, BALKON.",2-sobno,4,1963,"58,40 ","199.000,00"
"LJ. ŠIŠKA, BLIŽINA MERCATOR CENTRA",2-sobno,1,1974,"65,10 ","225.000,00"
LJ. VIČ,"2,5-sobno",1,1979,"67,00 ","250.000,00"
LJ. VIČ,3-sobno,1,2008,"130,40 ","299.000,00"
LJ. VIČ,4-sobno,2,2022,"131,03 ","505.000,00"
RUDNIK,4-sobno,2,2021,"109,00 ","403.187,00"
"BROD, TACEN - ŠIŠKA","3,5-sobno",P,2010,"82,00 ","299.300,00"
ČRNUČE,4-sobno,1,2022,"105,40 ","345.932,56"
ČRNUČE,4-sobno,3,2022,"126,18 ","469.924,18"
LJ. BEŽIGRAD,2-sobno,4,1964,"49,90 ","157.000,00"
LJ. BEŽIGRAD,"2,5-sobno",1,2021,"80,26 ","359.017,04"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
LJ. CENTER,"2,5-sobno",1,1940,"85,40 ","279.000,00"
LJ. CENTER,4-sobno,VP,1939,"108,50 ","365.000,00"
"LJ. CENTER, PENTHOUSE",4-sobno,7,2021,"320,70 ","1.195.436,00"
"LJ. CENTER, VODMAT, ZADNJA ENOTA",4-sobno,2,2021,"165,00 ","444.000,00"
"LJ. MOSTE, DVIGALO, BALKON.",2-sobno,4,1963,"58,40 ","199.000,00"
"LJ. ŠIŠKA, BLIŽINA MERCATOR CENTRA",2-sobno,1,1974,"65,10 ","225.000,00"
LJ. VIČ,"2,5-sobno",1,1979,"67,00 ","250.000,00"
LJ. VIČ,3-sobno,1,2008,"130,40 ","299.000,00"
LJ. VIČ,4-sobno,2,2022,"131,03 ","505.000,00"
RUDNIK,4-sobno,2,2021,"109,00 ","403.187,00"
"BROD, TACEN - ŠIŠKA","3,5-sobno",P,2010,"82,00 ","299.300,00"
ČRNUČE,4-sobno,1,2022,"105,40 ","345.932,56"
ČRNUČE,4-sobno,3,2022,"126,18 ","469.924,18"
LJ. BEŽIGRAD,2-sobno,4,1964,"49,90 ","157.000,00"
LJ. BEŽIGRAD,"2,5-sobno",1,2021,"80,26 ","359.017,04"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
LJ. CENTER,"2,5-sobno",1,1940,"85,40 ","279.000,00"
LJ. CENTER,4-sobno,VP,1939,"108,50 ","365.000,00"
"LJ. CENTER, PENTHOUSE",4-sobno,7,2021,"320,70 ","1.195.436,00"
"LJ. CENTER, VODMAT, ZADNJA ENOTA",4-sobno,2,2021,"165,00 ","444.000,00"
"LJ. MOSTE, DVIGALO, BALKON.",2-sobno,4,1963,"58,40 ","199.000,00"
"LJ. ŠIŠKA, BLIŽINA MERCATOR CENTRA",2-sobno,1,1974,"65,10 ","225.000,00"
LJ. VIČ,"2,5-sobno",1,1979,"67,00 ","250.000,00"
LJ. VIČ,3-sobno,1,2008,"130,40 ","299.000,00"
LJ. VIČ,4-sobno,2,2022,"131,03 ","505.000,00"
RUDNIK,4-sobno,2,2021,"109,00 ","403.187,00"
"BROD, TACEN - ŠIŠKA","3,5-sobno",P,2010,"82,00 ","299.300,00"
ČRNUČE,4-sobno,1,2022,"105,40 ","345.932,56"
ČRNUČE,4-sobno,3,2022,"126,18 ","469.924,18"
LJ. BEŽIGRAD,2-sobno,4,1964,"49,90 ","157.000,00"
LJ. BEŽIGRAD,"2,5-sobno",1,2021,"80,26 ","359.017,04"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
LJ. CENTER,"2,5-sobno",1,1940,"85,40 ","279.000,00"
LJ. CENTER,4-sobno,VP,1939,"108,50 ","365.000,00"
"LJ. CENTER, PENTHOUSE",4-sobno,7,2021,"320,70 ","1.195.436,00"
"LJ. CENTER, VODMAT, ZADNJA ENOTA",4-sobno,2,2021,"165,00 ","444.000,00"
"LJ. MOSTE, DVIGALO, BALKON.",2-sobno,4,1963,"58,40 ","199.000,00"
"LJ. ŠIŠKA, BLIŽINA MERCATOR CENTRA",2-sobno,1,1974,"65,10 ","225.000,00"
LJ. VIČ,"2,5-sobno",1,1979,"67,00 ","250.000,00"
LJ. VIČ,3-sobno,1,2008,"130,40 ","299.000,00"
LJ. VIČ,4-sobno,2,2022,"131,03 ","505.000,00"
RUDNIK,4-sobno,2,2021,"109,00 ","403.187,00"
"BROD, TACEN - ŠIŠKA","3,5-sobno",P,2010,"82,00 ","299.300,00"
ČRNUČE,4-sobno,1,2022,"105,40 ","345.932,56"
ČRNUČE,4-sobno,3,2022,"126,18 ","469.924,18"
LJ. BEŽIGRAD,2-sobno,4,1964,"49,90 ","157.000,00"
LJ. BEŽIGRAD,"2,5-sobno",1,2021,"80,26 ","359.017,04"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
LJ. CENTER,"2,5-sobno",1,1940,"85,40 ","279.000,00"
LJ. CENTER,4-sobno,VP,1939,"108,50 ","365.000,00"
"LJ. CENTER, PENTHOUSE",4-sobno,7,2021,"320,70 ","1.195.436,00"
"LJ. CENTER, VODMAT, ZADNJA ENOTA",4-sobno,2,2021,"165,00 ","444.000,00"
"LJ. MOSTE, DVIGALO, BALKON.",2-sobno,4,1963,"58,40 ","199.000,00"
"LJ. ŠIŠKA, BLIŽINA MERCATOR CENTRA",2-sobno,1,1974,"65,10 ","225.000,00"
LJ. VIČ,"2,5-sobno",1,1979,"67,00 ","250.000,00"
LJ. VIČ,3-sobno,1,2008,"130,40 ","299.000,00"
LJ. VIČ,4-sobno,2,2022,"131,03 ","505.000,00"
RUDNIK,4-sobno,2,2021,"109,00 ","403.187,00"
VODMAT,4-sobno,2,2021,"165,20 ","444.000,00"
BRDO,3-sobno,3,2013,"101,00 ","380.000,00"
BRDO,3-sobno,1,2022,"122,75 ","489.000,00"
BRDO,3-sobno,2,2022,"124,08 ","525.000,00"
BRDO,4-sobno,1,2022,"146,45 ","589.000,00"
BRDO,4-sobno,2,2022,"161,10 ","645.000,00"
BRDO,4-sobno,1,2022,"164,02 ","629.000,00"
BRDO,4-sobno,P,2022,"271,01 ","649.000,00"
BRINJE,4-sobno,VP,1965,"75,30 ","249.000,00"
BRINJE,4-sobno,4,2020,"126,34 ","514.900,00"
BRINJE,5 in večsobno,8,2014,"150,90 ","690.000,00"
BRINJE,4-sobno,1,2020,"163,15 ","634.900,00"
BRINJE,4-sobno,2,2020,"163,16 ","634.900,00"
BRINJE,4-sobno,1,2020,"191,00 ","634.900,00"
"BRINJE, BLIZU AC RINGA",4-sobno,4,2020,"183,96 ","514.900,00"
"BRINJE, BLIZU OBVOZNICE",4-sobno,2,2020,"185,63 ","634.900,00"
"BRINJE, DUNAJSKA CESTA",4-sobno,11,2014,"160,00 ","716.000,00"
"BRINJE, MIRNA LOKACIJA BLIZU OTROŠKIH IGRIŠČ, ŠOLE IN VRTCA",3-sobno,3,2002,"87,60 ","261.000,00"
BROD,"2,5-sobno",2,2017,"45,90 ","355.600,00"
BROD,2-sobno,1,2009,"66,45 ","290.000,00"
BROD,2-sobno,1,2009,"66,50 ","290.000,00"
BROD,"2,5-sobno",2,2017,"93,90 ","355.600,00"
"BROD, TACEN",4-sobno,1,2021,"132,65 ","460.000,00"
"BROD, TACEN",4-sobno,P,2021,"137,70 ","451.000,00"
"BS 3, VOJKOVA ULICA - ATRIJSKO",3-sobno,P,1982,"72,50 ","318.000,00"
"BROD, TACEN - ŠIŠKA","3,5-sobno",P,2010,"82,00 ","299.300,00"
ČRNUČE,4-sobno,1,2022,"105,40 ","345.932,56"
ČRNUČE,4-sobno,3,2022,"126,18 ","469.924,18"
LJ. BEŽIGRAD,2-sobno,4,1964,"49,90 ","157.000,00"
LJ. BEŽIGRAD,"2,5-sobno",1,2021,"80,26 ","359.017,04"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
LJ. CENTER,"2,5-sobno",1,1940,"85,40 ","279.000,00"
LJ. CENTER,4-sobno,VP,1939,"108,50 ","365.000,00"
"LJ. CENTER, PENTHOUSE",4-sobno,7,2021,"320,70 ","1.195.436,00"
"LJ. CENTER, VODMAT, ZADNJA ENOTA",4-sobno,2,2021,"165,00 ","444.000,00"
"LJ. MOSTE, DVIGALO, BALKON.",2-sobno,4,1963,"58,40 ","199.000,00"
"LJ. ŠIŠKA, BLIŽINA MERCATOR CENTRA",2-sobno,1,1974,"65,10 ","225.000,00"
LJ. VIČ,"2,5-sobno",1,1979,"67,00 ","250.000,00"
LJ. VIČ,3-sobno,1,2008,"130,40 ","299.000,00"
LJ. VIČ,4-sobno,2,2022,"131,03 ","505.000,00"
RUDNIK,4-sobno,2,2021,"109,00 ","403.187,00"
"BROD, TACEN - ŠIŠKA","3,5-sobno",P,2010,"82,00 ","299.300,00"
ČRNUČE,4-sobno,1,2022,"105,40 ","345.932,56"
ČRNUČE,4-sobno,3,2022,"126,18 ","469.924,18"
LJ. BEŽIGRAD,2-sobno,4,1964,"49,90 ","157.000,00"
LJ. BEŽIGRAD,"2,5-sobno",1,2021,"80,26 ","359.017,04"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
LJ. CENTER,"2,5-sobno",1,1940,"85,40 ","279.000,00"
LJ. CENTER,4-sobno,VP,1939,"108,50 ","365.000,00"
"LJ. CENTER, PENTHOUSE",4-sobno,7,2021,"320,70 ","1.195.436,00"
"LJ. CENTER, VODMAT, ZADNJA ENOTA",4-sobno,2,2021,"165,00 ","444.000,00"
"LJ. MOSTE, DVIGALO, BALKON.",2-sobno,4,1963,"58,40 ","199.000,00"
"LJ. ŠIŠKA, BLIŽINA MERCATOR CENTRA",2-sobno,1,1974,"65,10 ","225.000,00"
LJ. VIČ,"2,5-sobno",1,1979,"67,00 ","250.000,00"
LJ. VIČ,3-sobno,1,2008,"130,40 ","299.000,00"
LJ. VIČ,4-sobno,2,2022,"131,03 ","505.000,00"
RUDNIK,4-sobno,2,2021,"109,00 ","403.187,00"
VODMAT,4-sobno,2,2021,"165,20 ","444.000,00"
BRDO,3-sobno,3,2013,"101,00 ","380.000,00"
BRDO,3-sobno,1,2022,"122,75 ","489.000,00"
BRDO,3-sobno,2,2022,"124,08 ","525.000,00"
BRDO,4-sobno,1,2022,"146,45 ","589.000,00"
BRDO,4-sobno,2,2022,"161,10 ","645.000,00"
BRDO,4-sobno,1,2022,"164,02 ","629.000,00"
BRDO,4-sobno,P,2022,"271,01 ","649.000,00"
BRINJE,4-sobno,VP,1965,"75,30 ","249.000,00"
BRINJE,4-sobno,4,2020,"126,34 ","514.900,00"
BRINJE,5 in večsobno,8,2014,"150,90 ","690.000,00"
BRINJE,4-sobno,1,2020,"163,15 ","634.900,00"
BRINJE,4-sobno,2,2020,"163,16 ","634.900,00"
BRINJE,4-sobno,1,2020,"191,00 ","634.900,00"
"BRINJE, BLIZU AC RINGA",4-sobno,4,2020,"183,96 ","514.900,00"
"BRINJE, BLIZU OBVOZNICE",4-sobno,2,2020,"185,63 ","634.900,00"
"BRINJE, DUNAJSKA CESTA",4-sobno,11,2014,"160,00 ","716.000,00"
"BRINJE, MIRNA LOKACIJA BLIZU OTROŠKIH IGRIŠČ, ŠOLE IN VRTCA",3-sobno,3,2002,"87,60 ","261.000,00"
BROD,"2,5-sobno",2,2017,"45,90 ","355.600,00"
BROD,2-sobno,1,2009,"66,45 ","290.000,00"
BROD,2-sobno,1,2009,"66,50 ","290.000,00"
BROD,"2,5-sobno",2,2017,"93,90 ","355.600,00"
"BROD, TACEN",4-sobno,1,2021,"132,65 ","460.000,00"
"BROD, TACEN",4-sobno,P,2021,"137,70 ","451.000,00"
"BS 3, VOJKOVA ULICA - ATRIJSKO",3-sobno,P,1982,"72,50 ","318.000,00"
BTC,2-sobno,P,2021,"59,90 ","235.000,00 &euro;<span class=""cena-old"">245.000,00"
ČRNUČE,2-sobno,P,1937,"60,00 ","140.000,00"
ČRNUČE,3-sobno,PK,1973,"69,30 ","189.000,00"
ČRNUČE,"3,5-sobno",4,1986,"79,80 ","246.500,00"
ČRNUČE,3-sobno,P,2023,"84,26 ","308.159,00"
ČRNUČE,3-sobno,P,2023,"86,91 ","318.931,00"
ČRNUČE,"3,5-sobno",2,1988,"87,00 ","260.000,00"
