lokacija,sobno,nadstropje,leto,velikost,cena
ČRNUČE,3-sobno,K+P+M,2020,"158,16 ","370.000,00"
DRAVLJE,"2,5-sobno",1,2022,"75,12 ","311.000,00"
DRAVLJE,"2,5-sobno",2,2022,"75,77 ","320.000,00"
LJ. BEŽIGRAD,3-sobno,1,2021,"84,01 ","444.532,24"
LJ. BEŽIGRAD,3-sobno,2,2009,"84,90 ","620.000,00"
LJ. CENTER,3-sobno,8,1960,"73,70 ","285.000,00"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
"LJ. CENTER, POGLED NA VRT",3-sobno,1,1902,"86,60 ","339.000,00"
"LJ. CENTER, SLOVENIJA",4-sobno,4,1742,"365,00 ","1.590.000,00"
NOVO POLJE,4-sobno,P,2022,"90,99 ","355.000,00"
"RUDNIK, GALJEVICA BLIŽINA STRELIŠČA","2,5-sobno",P,1856,"100,50 ","199.000,00 &euro;<span class=""cena-old"">210.000,00"
VODMAT,2-sobno,PK,1932,"50,60 ","180.000,00"
"ZUPANČIČEVA JAMA, PENTHOUSE",4-sobno,3,1997,"206,00 ","765.000,00"
BIZOVIK,"1,5-sobno",3,2006,"67,14 ","295.000,00"
BRDO,"1,5-sobno",P,2004,"48,00 ","280.000,00"
BRDO,3-sobno,1,1998,"66,00 ","275.000,00"
BRDO,3-sobno,3,2013,"101,00 ","370.000,00"
"BRDO, 1. NADSTROPJE JV LEGA",4-sobno,1,2022,"146,45 ","649.000,00"
ČRNUČE,3-sobno,K+P+M,2020,"158,16 ","370.000,00"
DRAVLJE,"2,5-sobno",1,2022,"75,12 ","311.000,00"
DRAVLJE,"2,5-sobno",2,2022,"75,77 ","320.000,00"
LJ. BEŽIGRAD,3-sobno,1,2021,"84,01 ","444.532,24"
LJ. BEŽIGRAD,3-sobno,2,2009,"84,90 ","620.000,00"
LJ. CENTER,3-sobno,8,1960,"73,70 ","285.000,00"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
"LJ. CENTER, POGLED NA VRT",3-sobno,1,1902,"86,60 ","339.000,00"
"LJ. CENTER, SLOVENIJA",4-sobno,4,1742,"365,00 ","1.590.000,00"
NOVO POLJE,4-sobno,P,2022,"90,99 ","355.000,00"
"RUDNIK, GALJEVICA BLIŽINA STRELIŠČA","2,5-sobno",P,1856,"100,50 ","199.000,00 &euro;<span class=""cena-old"">210.000,00"
VODMAT,2-sobno,PK,1932,"50,60 ","180.000,00"
"ZUPANČIČEVA JAMA, PENTHOUSE",4-sobno,3,1997,"206,00 ","765.000,00"
BIZOVIK,"1,5-sobno",3,2006,"67,14 ","295.000,00"
BRDO,"1,5-sobno",P,2004,"48,00 ","280.000,00"
BRDO,3-sobno,1,1998,"66,00 ","275.000,00"
BRDO,3-sobno,3,2013,"101,00 ","370.000,00"
"BRDO, 1. NADSTROPJE JV LEGA",4-sobno,1,2022,"146,45 ","649.000,00"
ČRNUČE,3-sobno,K+P+M,2020,"158,16 ","370.000,00"
DRAVLJE,"2,5-sobno",1,2022,"75,12 ","311.000,00"
DRAVLJE,"2,5-sobno",2,2022,"75,77 ","320.000,00"
LJ. BEŽIGRAD,3-sobno,1,2021,"84,01 ","444.532,24"
LJ. BEŽIGRAD,3-sobno,2,2009,"84,90 ","620.000,00"
LJ. CENTER,3-sobno,8,1960,"73,70 ","285.000,00"
LJ. CENTER,2-sobno,1,1999,"76,60 ","490.000,00"
"LJ. CENTER, POGLED NA VRT",3-sobno,1,1902,"86,60 ","339.000,00"
"LJ. CENTER, SLOVENIJA",4-sobno,4,1742,"365,00 ","1.590.000,00"
NOVO POLJE,4-sobno,P,2022,"90,99 ","355.000,00"
"RUDNIK, GALJEVICA BLIŽINA STRELIŠČA","2,5-sobno",P,1856,"100,50 ","199.000,00 &euro;<span class=""cena-old"">210.000,00"
VODMAT,2-sobno,PK,1932,"50,60 ","180.000,00"
"ZUPANČIČEVA JAMA, PENTHOUSE",4-sobno,3,1997,"206,00 ","765.000,00"
