lokacija,sobno,nadstropje,leto,velikost,cena
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,14 ","380.000,00"
KAMNIK,1-sobno,3,1973,"40,50 ","120.000,00"
PRESERJE PRI RADOMLJAH,3-sobno,1,2007,"77,20 ","257.000,00"
"BOROVNICA, ZALARJEVA C.",5 in večsobno,1,1833,"121,20 ","185.000,00"
"BOROVNICA, ZALARJEVA C.",4-sobno,1,1833,"121,20 ","185.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,50 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"78,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,1,2006,"106,10 ","339.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,M,2022,"106,60 ","400.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"129,30 ","319.000,00"
BREZJE PRI GROSUPLJEM,4-sobno,P,2006,"206,30 ","310.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,10 ","489.000,00"
DEPALA VAS,2-sobno,VP,1959,"40,00 ","126.000,00"
DOB,4-sobno,P,2008,"78,52 ","295.000,00"
DOBROVA,"3,5-sobno",1,1997,"124,00 ","159.900,00"
DOMŽALE,1-sobno,3,1964,"31,00 ","125.000,00"
DOMŽALE,"1,5-sobno",5,1970,"46,80 ","134.000,00"
BREZJE PRI GROSUPLJEM,5 in večsobno,3,2006,"207,14 ","380.000,00"
KAMNIK,1-sobno,3,1973,"40,50 ","120.000,00"
PRESERJE PRI RADOMLJAH,3-sobno,1,2007,"77,20 ","257.000,00"
"BOROVNICA, ZALARJEVA C.",5 in večsobno,1,1833,"121,20 ","185.000,00"
"BOROVNICA, ZALARJEVA C.",4-sobno,1,1833,"121,20 ","185.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,50 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,1,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","255.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,2,2022,"75,70 ","280.000,00"
BREZJE PRI GROSUPLJEM,3-sobno,P,2022,"75,70 ","293.000,00"
