lokacija,sobno,nadstropje,leto,velikost,cena
CERKNICA,4-sobno,1,2005,"145,90 ","128.000,00"
"CERKNICA, CESTA 4. MAJA 52",3-sobno,1,1964,"66,20 ","130.000,00"
ILIRSKA BISTRICA,5 in večsobno,P,1975,"126,00 ","100.000,00"
"ILIRSKA BISTRICA, PREŠERNOVA ULICA",3-sobno,3,1968,"76,70 ","82.000,00"
"ILIRSKA BISTRICA, ROZMANOVA ULICA",2-sobno,4,1980,"59,00 ","67.000,00"
PIVKA,3-sobno,P,1975,"79,10 ","59.000,00"
"PIVKA, SREDIŠČE.",3-sobno,2,1970,"76,00 ","96.000,00"
PODGRAD,3-sobno,2,1960,"49,10 ","75.000,00"
POSTOJNA,2-sobno,2,1972,"52,00 ","92.000,00"
POSTOJNA,"3,5-sobno",1,1985,"110,90 ","175.000,00"
"POSTOJNA, CENTER POSTOJNE",5 in večsobno,1,2004,"167,00 ","105.000,00"
"POSTOJNA, CENTER POSTOJNE ST. 01",4-sobno,P,2021,"183,21 ","248.657,70"
"POSTOJNA, CENTER POSTOJNE ST. 02",4-sobno,P,2021,"148,82 ","216.009,60"
"POSTOJNA, CENTER POSTOJNE ST. 09",2-sobno,M,2021,"107,79 ","174.487,20"
"POSTOJNA, JAMSKA CESTA 3","2,5-sobno",1,1912,"77,90 ","77.900,00"
"POSTOJNA, ŠMIHEL POD NANOSOM",3-sobno,1,1889,"83,00 ","65.000,00"
"POSTOJNA, ŠMIHEL POD NANOSOM",4-sobno,M,1889,"118,50 ","45.000,00"
"POSTOJNA, ULICA 1. MAJA 8",Drugo,K,1958,"17,30 ","8.900,00"
"POSTOJNA, ZELENI BISER","2,5-sobno",2,2008,"84,80 ","212.000,00"
RAKEK,Garsonjera,1,1943,"48,80 ","58.900,00"
ŠMIHEL POD NANOSOM,3-sobno,1,1990,"83,00 ","65.000,00"
ŠMIHEL POD NANOSOM,4-sobno,2,1990,"118,50 ","45.000,00"
