lokacija,sobno,nadstropje,leto,velikost,cena
BEGUNJE PRI CERKNICI,3-sobno,1,2009,"73,30 ","180.000,00"
CERKNICA,4-sobno,1,2005,"145,90 ","119.000,00"
ILIRSKA BISTRICA,5 in večsobno,P,1975,"126,00 ","100.000,00"
"ILIRSKA BISTRICA, ROZMANOVA ULICA",2-sobno,4,1980,"59,00 ","70.000,00"
PIVKA,3-sobno,P,1920,"84,00 ","88.000,00"
"PIVKA, SREDIŠČE.",3-sobno,2,1970,"76,00 ","96.000,00"
POSTOJNA,2-sobno,2,1850,"38,30 ","85.000,00"
POSTOJNA,2-sobno,K,2022,"59,71 ","171.670,00"
POSTOJNA,2-sobno,4,1965,"61,00 ","125.000,00"
POSTOJNA,4-sobno,5,1978,"67,90 ","89.000,00"
POSTOJNA,3-sobno,1,2021,"108,64 ","265.825,00"
POSTOJNA,4-sobno,1,2002,"116,50 ","285.000,00"
POSTOJNA,5 in večsobno,1,2021,"118,88 ","299.656,00"
"POSTOJNA, CENTER POSTOJNE ST. 01",4-sobno,P,2021,"183,21 ","248.657,70"
"POSTOJNA, CENTER POSTOJNE ST. 02",4-sobno,P,2021,"148,82 ","216.009,60"
"POSTOJNA, CENTER POSTOJNE ST. 09",2-sobno,M,2021,"107,79 ","174.487,20"
"POSTOJNA, JAMSKA CESTA 3","2,5-sobno",1,1912,"77,90 ","77.900,00"
"POSTOJNA, VOJKOVA ULICA",3-sobno,2,1954,"100,70 ","159.000,00"
"POSTOJNA, ZELENI BISER",5 in večsobno,3,2007,"142,00 ","329.000,00"
RAKEK,1-sobno,P,1943,"31,00 ","69.900,00"
