lokacija,sobno,nadstropje,leto,velikost,cena
"BETNAVA, OB BETNAVSKEM GOZDU",3-sobno,4,2008,"88,10 ","217.000,00"
KOŠAKI,4-sobno,1,2021,"103,00 ","198.900,00"
"LENART V SLOVENSKIH GORICAH, IZJEMNO SONČNO IN SVETLO",4-sobno,3,2014,"114,10 ","197.500,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"77,37 ","215.538,71"
"POBREŽJE, GREENWICH",2-sobno,4,1960,"53,50 ","92.900,00"
"TABOR, PENTHOUSE",5 in večsobno,5,2021,"560,00 ","1.000.000,00"
ZGORNJE RADVANJE,"4,5-sobno",3,2002,"270,20 ","380.000,00"
BENEDIKT,2-sobno,M,2008,"68,44 ","79.000,00"
BETNAVA,"2,5-sobno",7,2010,"69,00 ","175.000,00"
BETNAVA,3-sobno,5,2000,"102,10 ","149.000,00"
BETNAVA,"3,5-sobno",17,2009,"103,00 ","279.000,00"
"BETNAVA, MARIBOR","3,5-sobno",P,2010,"123,00 ","290.000,00"
BOROVA VAS,2-sobno,6,1989,"55,60 ","125.000,00"
BREZJE,1-sobno,P,2006,"41,20 ","104.000,00"
"FRAM, CENTER",2-sobno,2,1905,"72,20 ","78.000,00"
GRADIŠKA,4-sobno,3,2021,"136,60 ","217.036,00"
KAMNICA,Garsonjera,VP,1939,"51,00 ","44.900,00"
KAMNICA,5 in večsobno,P,1991,"610,00 ","620.000,00"
"BETNAVA, OB BETNAVSKEM GOZDU",3-sobno,4,2008,"88,10 ","217.000,00"
KOŠAKI,4-sobno,1,2021,"103,00 ","198.900,00"
"LENART V SLOVENSKIH GORICAH, IZJEMNO SONČNO IN SVETLO",4-sobno,3,2014,"114,10 ","197.500,00"
"MARIBOR, ERJAVČEVA - REZIDENCA SUNSET",3-sobno,2,2021,"77,37 ","215.538,71"
"POBREŽJE, GREENWICH",2-sobno,4,1960,"53,50 ","92.900,00"
"TABOR, PENTHOUSE",5 in večsobno,5,2021,"560,00 ","1.000.000,00"
