lokacija,sobno,nadstropje,leto,opis,velikost,cena
"MORAVSKE TOPLICE, PENTHAUSE, 3 - SOBNO ZADNJE",3-sobno,P+1+2,2021,"164 m2, 3-sobno, &quot;penthouse&quot;, novogradnja, začetek gradnje l. 2021, P+1+2, PRODAMO nove vrhunske hiše v treh e...","164,00 ","248.000,00"
APAČE,2-sobno,P,2021,"53,14 m2, 2-sobno, novogradnja - zgr. l. 2021, pritličje, prodamo. Cena: 97.296,77 EUR","53,14 ","97.296,77"
APAČE,2-sobno,P,2021,"53,14 m2, 2-sobno, novogradnja - zgr. l. 2021, pritličje, prodamo. Cena: 97.296,77 EUR","53,14 ","97.296,77"
APAČE,2-sobno,3,2021,"57,22 m2, 2-sobno, novogradnja - zgr. l. 2021, 3. nad., prodamo. Cena: 93.654,26 EUR","57,22 ","93.654,26"
APAČE,2-sobno,2,2021,"57,93 m2, 2-sobno, zgrajeno l. 2021, 2/3 nad., prodamo. Cena: 96.000,00 EUR","57,93 ","96.000,00"
APAČE,2-sobno,2,2021,"57,93 m2, 2-sobno, zgrajeno l. 2021, 2/3 nad., prodamo. Cena: 96.000,00 EUR","57,93 ","96.000,00"
APAČE,2-sobno,1,2021,"58,99 m2, 2-sobno, zgrajeno l. 2021, 1/3 nad., prodamo. Cena: 97.000,00 EUR","58,99 ","97.000,00"
APAČE,2-sobno,P,2021,"58,99 m2, 2-sobno, novogradnja - zgr. l. 2021, pritličje, prodamo. Cena: 95.156,32 EUR","58,99 ","95.156,32"
APAČE,2-sobno,1,2022,"63,14 m2, 2-sobno, zgrajeno l. 2022, 1/3 nad., prodamo. Cena: 111.018,38 EUR","63,14 ","111.018,38"
APAČE,3-sobno,3,2021,"66,16 m2, 3-sobno, zgrajeno l. 2021, 3/3 nad., prodamo. Cena: 108.000,00 EUR","66,16 ","108.000,00"
APAČE,3-sobno,1,2021,"67,91 m2, 3-sobno, zgrajeno l. 2021, 1/3 nad., prodamo. Cena: 108.000,00 EUR","67,91 ","108.000,00"
APAČE,3-sobno,2,2021,"68,26 m2, 3-sobno, zgrajeno l. 2021, 2/3 nad., prodamo. Cena: 109.846,02 EUR","68,26 ","109.846,02"
