lokacija,sobno,nadstropje,leto,velikost,cena
"MORAVSKE TOPLICE, PENTHAUSE, 3 - SOBNO ZADNJE",3-sobno,P+1+2,2021,"164,00 ","248.000,00"
APAČE,2-sobno,2,2022,"55,84 ","98.648,55"
APAČE,2-sobno,1,2021,"58,99 ","97.000,00"
APAČE,2-sobno,1,2022,"63,14 ","112.096,03"
APAČE,3-sobno,2,2021,"68,26 ","109.846,02"
APAČE,3-sobno,2,2022,"71,13 ","126.868,01"
APAČE,3-sobno,2,2022,"71,13 ","130.643,85"
APAČE,3-sobno,2,2021,"77,63 ","125.000,00"
APAČE,2-sobno,P,2022,"81,68 ","106.821,47"
APAČE,4-sobno,1,2022,"88,22 ","155.389,53"
APAČE,4-sobno,1,2022,"88,22 ","149.739,01"
APAČE,2-sobno,P,2022,"90,40 ","107.793,11"
APAČE,2-sobno,P,2022,"90,40 ","111.746,34"
APAČE,2-sobno,P,2022,"92,27 ","121.597,12"
APAČE,5 in večsobno,2,2009,"136,80 ","127.500,00"
ČREŠNJEVCI,2-sobno,2,2017,"75,00 ","84.000,00"
ČRNCI,2-sobno,1,1945,"58,50 ","58.000,00"
GORNJA RADGONA,3-sobno,2,1960,"72,00 ","109.900,00"
GORNJA RADGONA,"2,5-sobno",2,1972,"74,00 ","92.500,00"
"GORNJA RADGONA, KOCLJEVA ULICA 11","2,5-sobno",1,1991,"81,00 ","108.000,00"
"LENDAVA, MIRNA LOKACIJA LENDAVE",3-sobno,4,1979,"84,40 ","115.000,00"
LJUTOMER,3-sobno,1,1965,"60,00 ","98.000,00"
LJUTOMER,2-sobno,3,1985,"61,00 ","87.000,00"
LJUTOMER,"2,5-sobno",P,1897,"61,70 ","54.000,00"
"MORAVSKE TOPLICE, PENTHAUSE, 3 - SOBNO ZADNJE",3-sobno,P+1+2,2021,"164,00 ","248.000,00"
APAČE,2-sobno,2,2022,"55,84 ","98.648,55"
APAČE,2-sobno,1,2021,"58,99 ","97.000,00"
APAČE,2-sobno,1,2022,"63,14 ","112.096,03"
APAČE,3-sobno,2,2021,"68,26 ","109.846,02"
APAČE,3-sobno,2,2022,"71,13 ","126.868,01"
APAČE,3-sobno,2,2022,"71,13 ","130.643,85"
APAČE,3-sobno,2,2021,"77,63 ","125.000,00"
APAČE,2-sobno,P,2022,"81,68 ","106.821,47"
APAČE,4-sobno,1,2022,"88,22 ","155.389,53"
APAČE,4-sobno,1,2022,"88,22 ","149.739,01"
APAČE,2-sobno,P,2022,"90,40 ","107.793,11"
APAČE,2-sobno,P,2022,"90,40 ","111.746,34"
APAČE,2-sobno,P,2022,"92,27 ","121.597,12"
APAČE,5 in večsobno,2,2009,"136,80 ","127.500,00"
ČREŠNJEVCI,2-sobno,2,2017,"75,00 ","84.000,00"
ČRNCI,2-sobno,1,1945,"58,50 ","58.000,00"
GORNJA RADGONA,3-sobno,2,1960,"72,00 ","109.900,00"
GORNJA RADGONA,"2,5-sobno",2,1972,"74,00 ","92.500,00"
"GORNJA RADGONA, KOCLJEVA ULICA 11","2,5-sobno",1,1991,"81,00 ","108.000,00"
"LENDAVA, MIRNA LOKACIJA LENDAVE",3-sobno,4,1979,"84,40 ","115.000,00"
LJUTOMER,3-sobno,1,1965,"60,00 ","98.000,00"
LJUTOMER,2-sobno,3,1985,"61,00 ","87.000,00"
LJUTOMER,"2,5-sobno",P,1897,"61,70 ","54.000,00"
"MORAVSKE TOPLICE, PENTHAUSE, 3 - SOBNO ZADNJE",3-sobno,P+1+2,2021,"164,00 ","248.000,00"
APAČE,2-sobno,2,2022,"55,84 ","98.648,55"
APAČE,2-sobno,1,2021,"58,99 ","97.000,00"
APAČE,2-sobno,1,2022,"63,14 ","112.096,03"
APAČE,3-sobno,2,2021,"68,26 ","109.846,02"
APAČE,3-sobno,2,2022,"71,13 ","126.868,01"
APAČE,3-sobno,2,2022,"71,13 ","130.643,85"
APAČE,3-sobno,2,2021,"77,63 ","125.000,00"
APAČE,2-sobno,P,2022,"81,68 ","106.821,47"
APAČE,4-sobno,1,2022,"88,22 ","155.389,53"
APAČE,4-sobno,1,2022,"88,22 ","149.739,01"
APAČE,2-sobno,P,2022,"90,40 ","107.793,11"
APAČE,2-sobno,P,2022,"90,40 ","111.746,34"
APAČE,2-sobno,P,2022,"92,27 ","121.597,12"
APAČE,5 in večsobno,2,2009,"136,80 ","127.500,00"
ČREŠNJEVCI,2-sobno,2,2017,"75,00 ","84.000,00"
ČRNCI,2-sobno,1,1945,"58,50 ","58.000,00"
GORNJA RADGONA,3-sobno,2,1960,"72,00 ","109.900,00"
GORNJA RADGONA,"2,5-sobno",2,1972,"74,00 ","92.500,00"
"GORNJA RADGONA, KOCLJEVA ULICA 11","2,5-sobno",1,1991,"81,00 ","108.000,00"
"LENDAVA, MIRNA LOKACIJA LENDAVE",3-sobno,4,1979,"84,40 ","115.000,00"
LJUTOMER,3-sobno,1,1965,"60,00 ","98.000,00"
LJUTOMER,2-sobno,3,1985,"61,00 ","87.000,00"
LJUTOMER,"2,5-sobno",P,1897,"61,70 ","54.000,00"
