lokacija,sobno,nadstropje,leto,velikost,cena
"BREŽICE, ŠENTLENART",5 in večsobno,2,2020,"193,50 ","137.000,00"
"BREŽICE, TRNJE",2-sobno,VP,1977,"59,80 ","102.000,00"
KRŠKO,"1,5-sobno",1,1900,"48,00 ","58.500,00"
KRŠKO,"2,5-sobno",4,1981,"70,00 ","123.456,00"
KRŠKO,3-sobno,VP,1954,"76,00 ","150.000,00"
KRŠKO,"3,5-sobno",M,1992,"88,70 ","59.900,00"
SENOVO,3-sobno,1,1923,"98,90 ","80.000,00"
SENOVO,"3,5-sobno",VP,1973,"100,00 ","95.000,00"
SENOVO,"3,5-sobno",1,1973,"100,00 ","89.000,00"
"SEVNICA, VRHOVO",3-sobno,M,1990,"73,00 ","71.000,00"
