lokacija,sobno,nadstropje,leto,velikost,cena
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
"CELJE, DRAPŠINOVA ULICA",3-sobno,1,2021,"83,00 ","174.891,02"
"CELJE, DROŠINOVA ULICA, DEČKOVO NASELJE",3-sobno,3,2021,"82,50 ","186.666,05"
"CELJE, HUDINJA",4-sobno,P,2021,"141,80 ","261.000,00"
CELJE,2-sobno,VP,1971,"52,00 ","103.000,00"
CELJE,"2,5-sobno",3,1962,"61,70 ","125.500,00"
CELJE,"2,5-sobno",12,1979,"62,10 ","109.000,00"
CELJE,2-sobno,1,1900,"68,60 ","130.000,00"
CELJE,3-sobno,4,1964,"71,00 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,4-sobno,4,1964,"71,61 ","125.000,00"
CELJE,3-sobno,4,1950,"82,00 ","149.000,00"
CELJE,3-sobno,1,2021,"82,30 ","173.758,96"
CELJE,3-sobno,4,2021,"82,40 ","181.814,52"
CELJE,3-sobno,2,2021,"83,90 ","187.307,65"
CELJE,3-sobno,1,1954,"84,00 ","155.000,00"
CELJE,2-sobno,2,2022,"85,00 ","215.000,00"
CELJE,3-sobno,2,2007,"88,00 ","162.000,00"
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
"CELJE, DRAPŠINOVA ULICA",3-sobno,1,2021,"83,00 ","174.891,02"
"CELJE, DROŠINOVA ULICA, DEČKOVO NASELJE",3-sobno,3,2021,"82,50 ","186.666,05"
"CELJE, HUDINJA",4-sobno,P,2021,"141,80 ","261.000,00"
CELJE,2-sobno,VP,1971,"52,00 ","103.000,00"
CELJE,"2,5-sobno",3,1962,"61,70 ","125.500,00"
CELJE,"2,5-sobno",12,1979,"62,10 ","109.000,00"
CELJE,2-sobno,1,1900,"68,60 ","130.000,00"
CELJE,3-sobno,4,1964,"71,00 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,4-sobno,4,1964,"71,61 ","125.000,00"
CELJE,3-sobno,4,1950,"82,00 ","149.000,00"
CELJE,3-sobno,1,2021,"82,30 ","173.758,96"
CELJE,3-sobno,4,2021,"82,40 ","181.814,52"
CELJE,3-sobno,2,2021,"83,90 ","187.307,65"
CELJE,3-sobno,1,1954,"84,00 ","155.000,00"
CELJE,2-sobno,2,2022,"85,00 ","215.000,00"
CELJE,3-sobno,2,2007,"88,00 ","162.000,00"
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
"CELJE, DRAPŠINOVA ULICA",3-sobno,1,2021,"83,00 ","174.891,02"
"CELJE, DROŠINOVA ULICA, DEČKOVO NASELJE",3-sobno,3,2021,"82,50 ","186.666,05"
"CELJE, HUDINJA",4-sobno,P,2021,"141,80 ","261.000,00"
CELJE,2-sobno,VP,1971,"52,00 ","103.000,00"
CELJE,"2,5-sobno",3,1962,"61,70 ","125.500,00"
CELJE,"2,5-sobno",12,1979,"62,10 ","109.000,00"
CELJE,2-sobno,1,1900,"68,60 ","130.000,00"
CELJE,3-sobno,4,1964,"71,00 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,4-sobno,4,1964,"71,61 ","125.000,00"
CELJE,3-sobno,4,1950,"82,00 ","149.000,00"
CELJE,3-sobno,1,2021,"82,30 ","173.758,96"
CELJE,3-sobno,4,2021,"82,40 ","181.814,52"
CELJE,3-sobno,2,2021,"83,90 ","187.307,65"
CELJE,3-sobno,1,1954,"84,00 ","155.000,00"
CELJE,2-sobno,2,2022,"85,00 ","215.000,00"
CELJE,3-sobno,2,2007,"88,00 ","162.000,00"
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
"CELJE, DRAPŠINOVA ULICA",3-sobno,1,2021,"83,00 ","174.891,02"
"CELJE, DROŠINOVA ULICA, DEČKOVO NASELJE",3-sobno,3,2021,"82,50 ","186.666,05"
"CELJE, HUDINJA",4-sobno,P,2021,"141,80 ","261.000,00"
CELJE,2-sobno,VP,1971,"52,00 ","103.000,00"
CELJE,"2,5-sobno",3,1962,"61,70 ","125.500,00"
CELJE,"2,5-sobno",12,1979,"62,10 ","109.000,00"
CELJE,2-sobno,1,1900,"68,60 ","130.000,00"
CELJE,3-sobno,4,1964,"71,00 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,4-sobno,4,1964,"71,61 ","125.000,00"
CELJE,3-sobno,4,1950,"82,00 ","149.000,00"
CELJE,3-sobno,1,2021,"82,30 ","173.758,96"
CELJE,3-sobno,4,2021,"82,40 ","181.814,52"
CELJE,3-sobno,2,2021,"83,90 ","187.307,65"
CELJE,3-sobno,1,1954,"84,00 ","155.000,00"
CELJE,2-sobno,2,2022,"85,00 ","215.000,00"
CELJE,3-sobno,2,2007,"88,00 ","162.000,00"
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
"CELJE, DRAPŠINOVA ULICA",3-sobno,1,2021,"83,00 ","174.891,02"
"CELJE, DROŠINOVA ULICA, DEČKOVO NASELJE",3-sobno,3,2021,"82,50 ","186.666,05"
"CELJE, HUDINJA",4-sobno,P,2021,"141,80 ","261.000,00"
CELJE,2-sobno,VP,1971,"52,00 ","103.000,00"
CELJE,"2,5-sobno",3,1962,"61,70 ","125.500,00"
CELJE,"2,5-sobno",12,1979,"62,10 ","109.000,00"
CELJE,2-sobno,1,1900,"68,60 ","130.000,00"
CELJE,3-sobno,4,1964,"71,00 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,3-sobno,4,1964,"71,60 ","125.000,00"
CELJE,4-sobno,4,1964,"71,61 ","125.000,00"
CELJE,3-sobno,4,1950,"82,00 ","149.000,00"
CELJE,3-sobno,1,2021,"82,30 ","173.758,96"
CELJE,3-sobno,4,2021,"82,40 ","181.814,52"
CELJE,3-sobno,2,2021,"83,90 ","187.307,65"
