lokacija,sobno,nadstropje,leto,velikost,cena
DOL PRI HRASTNIKU,"2,5-sobno",4,1966,"57,70 ","65.000,00 &euro;<span class=""cena-old"">68.000,00"
HRASTNIK,"1,5-sobno",2,1960,"55,70 ","45.500,00"
KISOVEC,2-sobno,2,1975,"60,00 ","94.000,00"
STUDENCE,3-sobno,P,1920,"46,10 ","37.000,00"
TRBOVLJE,2-sobno,9,1965,"49,00 ","75.000,00"
TRBOVLJE,3-sobno,1,1943,"79,50 ","114.900,00"
TRBOVLJE,4-sobno,P,1893,"112,70 ","89.000,00"
TRBOVLJE,3-sobno,P,1999,"138,90 ","120.000,00"
"TRBOVLJE, CENTER",4-sobno,1,2021,"120,00 ","179.000,00"
"TRBOVLJE, PARTIZANSKA 40",Drugo,1,1999,"138,90 ","120.000,00"
"TRBOVLJE, STARO MESTNO JEDRO",2-sobno,P,1878,"56,00 ","44.000,00"
"TRBOVLJE, STARO MESTNO JEDRO",2-sobno,P,1878,"64,00 ","58.000,00"
"TRBOVLJE, ŠIRŠI CENTER",1-sobno,2,1910,"29,80 ","24.500,00"
"TRBOVLJE, ŠIRŠI CENTER",2-sobno,1,1967,"56,40 ","92.000,00"
"TRBOVLJE, ŠIRŠI CENTER","3,5-sobno",2,1951,"70,90 ","83.000,00"
"TRBOVLJE, VRESKOVO 46","1,5-sobno",P,1965,"50,00 ","80.000,00"
ZAGORJE OB SAVI,1-sobno,3,1968,"44,00 ","64.000,00"
ZAGORJE OB SAVI,1-sobno,1,2016,"60,00 ","65.000,00"
ZAGORJE OB SAVI,3-sobno,2,1971,"70,00 ","143.000,00"
ZAGORJE OB SAVI,3-sobno,1,1949,"70,00 ","119.000,00"
ZAGORJE OB SAVI,2-sobno,4,1961,"78,90 ","107.000,00"
"ZAGORJE OB SAVI, CENTER",3-sobno,1,1880,"86,40 ","130.000,00"
"ZAGORJE OB SAVI, CENTER",4-sobno,1,1880,"148,80 ","190.000,00"
