lokacija,sobno,nadstropje,leto,velikost,cena
KISOVEC,3-sobno,2,1968,"57,00 ","88.000,00"
HRASTNIK,3-sobno,2,1947,"75,60 ","58.000,00"
TRBOVLJE,1-sobno,1,1885,"27,90 ","31.000,00 &euro;<span class=""cena-old"">34.000,00"
TRBOVLJE,2-sobno,P,1965,"43,30 ","75.000,00"
TRBOVLJE,2-sobno,9,1965,"49,00 ","75.000,00"
TRBOVLJE,2-sobno,VP,1967,"56,40 ","75.000,00"
TRBOVLJE,3-sobno,4,1967,"73,90 ","94.000,00"
TRBOVLJE,4-sobno,P,1893,"112,70 ","89.000,00"
TRBOVLJE,3-sobno,P,1999,"138,90 ","120.000,00"
"TRBOVLJE, CENTER",3-sobno,2,1958,"84,00 ","135.000,00"
"TRBOVLJE, PARTIZANSKA 40",Drugo,1,1999,"138,90 ","120.000,00"
"TRBOVLJE, STARO MESTNO JEDRO",2-sobno,P,1878,"56,00 ","39.000,00 &euro;<span class=""cena-old"">44.000,00"
"TRBOVLJE, STARO MESTNO JEDRO",2-sobno,P,1878,"64,00 ","52.000,00 &euro;<span class=""cena-old"">58.000,00"
"TRBOVLJE, ZGORNJI DEL MESTA",3-sobno,3,1962,"65,20 ","79.000,00"
ZAGORJE OB SAVI,1-sobno,1,2016,"60,00 ","57.000,00"
ZAGORJE OB SAVI,3-sobno,2,1971,"70,00 ","110.000,00"
ZAGORJE OB SAVI,2-sobno,4,1961,"79,10 ","107.000,00"
